customer_id,loyalty_tier,points_earned,points_redeemed,points_balance
CUST00124,Silver,1171,695,476
CUST00125,Bronze,570,176,394
CUST00126,Bronze,1653,515,1138
CUST00127,Bronze,363,182,181
CUST00128,Bronze,142,60,82
CUST00129,Bronze,909,138,771
CUST00130,Bronze,700,193,507
CUST00131,Gold,1687,194,1493
CUST00132,Bronze,201,87,114
CUST00133,Platinum,2331,383,1948
CUST00134,Bronze,78,44,34
CUST00135,Platinum,2889,1644,1245
CUST00136,Silver,598,242,356
CUST00137,Bronze,569,179,390
CUST00138,Silver,944,35,909
CUST00139,Gold,1613,858,755
CUST00140,Bronze,65,11,54
CUST00141,Bronze,143,62,81
CUST00142,Platinum,1237,649,588
CUST00143,Bronze,233,18,215
CUST00144,Silver,234,39,195
CUST00145,Gold,1956,796,1160
CUST00146,Gold,1710,626,1084
CUST00147,Gold,1422,188,1234
CUST00148,Bronze,1396,113,1283
CUST00149,Gold,1404,763,641
CUST00150,Silver,864,6,858
CUST00151,Silver,1031,177,854
CUST00152,Bronze,320,60,260
CUST00153,Silver,709,281,428
CUST00154,Silver,951,449,502
CUST00155,Bronze,921,166,755
CUST00156,Bronze,352,132,220
CUST00157,Platinum,2237,1120,1117
CUST00158,Bronze,140,3,137
CUST00159,Platinum,1750,1000,750
CUST00160,Bronze,490,127,363
CUST00161,Platinum,2302,890,1412
CUST00162,Silver,807,212,595
CUST00163,Bronze,38,22,16
CUST00164,Bronze,236,78,158
CUST00165,Silver,576,291,285
CUST00166,Bronze,143,63,80
CUST00167,Bronze,56,2,54
CUST00168,Bronze,211,48,163
CUST00169,Bronze,52,20,32
CUST00170,Bronze,290,148,142
CUST00171,Silver,1196,635,561
CUST00172,Bronze,366,0,366
CUST00173,Silver,615,349,266
CUST00174,Silver,539,322,217
CUST00175,Gold,2701,239,2462
CUST00176,Bronze,258,144,114
CUST00177,Gold,1784,828,956
CUST00178,Silver,789,339,450
CUST00179,Silver,1715,547,1168
CUST00180,Silver,607,112,495
CUST00181,Silver,878,245,633
CUST00182,Platinum,3765,1415,2350
CUST00183,Silver,380,105,275
CUST00184,Gold,2735,293,2442
CUST00185,Platinum,2315,386,1929
CUST00186,Silver,1323,595,728
CUST00187,Bronze,929,341,588
CUST00188,Silver,405,201,204
CUST00189,Gold,852,27,825
CUST00190,Bronze,256,44,212
CUST00191,Silver,722,37,685
CUST00192,Gold,1681,911,770
CUST00193,Bronze,801,39,762
CUST00194,Bronze,275,30,245
CUST00195,Platinum,2968,1041,1927
CUST00196,Silver,413,120,293
CUST00197,Bronze,156,0,156
CUST00198,Bronze,117,5,112
CUST00199,Gold,1656,983,673
CUST00200,Bronze,806,2,804
CUST00201,Silver,243,10,233
CUST00202,Gold,711,275,436
CUST00203,Silver,516,71,445
CUST00204,Gold,1500,183,1317
CUST00205,Gold,741,65,676
CUST00206,Silver,1144,56,1088
CUST00207,Silver,1442,367,1075
CUST00208,Bronze,216,60,156
CUST00209,Silver,1017,134,883
CUST00210,Gold,1062,170,892
CUST00211,Bronze,619,21,598
CUST00212,Gold,1616,554,1062
CUST00213,Gold,1550,600,950
CUST00214,Platinum,2055,481,1574
CUST00215,Gold,1029,589,440
CUST00216,Silver,623,367,256
CUST00217,Bronze,357,91,266
CUST00218,Bronze,74,24,50
CUST00219,Bronze,527,25,502
CUST00220,Gold,1850,1083,767
CUST00221,Silver,173,73,100
CUST00222,Gold,1310,541,769
CUST00223,Platinum,2034,62,1972
CUST00224,Silver,861,298,563
CUST00225,Gold,2228,869,1359
CUST00226,Silver,1235,392,843
CUST00227,Bronze,819,36,783
CUST00228,Gold,1433,457,976
CUST00229,Gold,1154,119,1035
CUST00230,Silver,849,427,422
CUST00231,Silver,976,15,961
CUST00232,Bronze,213,23,190
CUST00233,Bronze,352,73,279
CUST00234,Gold,1290,481,809
CUST00235,Gold,1359,549,810
CUST00236,Silver,1159,185,974
CUST00237,Bronze,494,134,360
CUST00238,Platinum,2340,953,1387
CUST00239,Bronze,225,90,135
CUST00240,Silver,1087,578,509
CUST00241,Silver,598,314,284
CUST00242,Gold,1482,738,744
CUST00243,Gold,654,51,603
CUST00244,Bronze,313,31,282
CUST00245,Bronze,295,124,171
CUST00246,Silver,219,49,170
CUST00247,Silver,375,145,230
CUST00248,Gold,550,22,528
CUST00249,Bronze,737,404,333
CUST00250,Gold,1112,401,711
CUST00251,Bronze,267,107,160
CUST00252,Bronze,122,41,81
CUST00253,Bronze,368,14,354
CUST00254,Bronze,94,47,47
CUST00255,Bronze,496,206,290
CUST00256,Bronze,141,65,76
CUST00257,Bronze,97,33,64
CUST00258,Silver,1770,1029,741
CUST00259,Silver,610,186,424
CUST00260,Bronze,596,236,360
CUST00261,Silver,664,367,297
CUST00262,Bronze,298,109,189
CUST00263,Gold,1864,79,1785
CUST00264,Bronze,778,93,685
CUST00265,Bronze,197,59,138
CUST00266,Bronze,408,242,166
CUST00267,Silver,252,50,202
CUST00268,Silver,238,31,207
CUST00269,Bronze,197,54,143
CUST00270,Bronze,914,20,894
CUST00271,Silver,462,122,340
CUST00272,Bronze,969,356,613
CUST00273,Silver,314,13,301
CUST00274,Bronze,347,39,308
CUST00275,Platinum,2009,625,1384
CUST00276,Silver,1078,348,730
CUST00277,Bronze,142,1,141
CUST00278,Silver,266,100,166
CUST00279,Silver,315,51,264
CUST00280,Bronze,252,32,220
CUST00281,Bronze,57,29,28
CUST00282,Bronze,391,200,191
CUST00283,Silver,1251,62,1189
CUST00284,Bronze,62,22,40
CUST00285,Silver,1439,158,1281
CUST00286,Bronze,19,4,15
CUST00287,Silver,588,45,543
CUST00288,Bronze,365,169,196
CUST00289,Silver,834,496,338
CUST00290,Platinum,2247,875,1372
CUST00291,Gold,1728,526,1202
CUST00292,Silver,1356,796,560
CUST00293,Silver,446,160,286
CUST00294,Bronze,337,110,227
CUST00295,Gold,1539,918,621
CUST00296,Silver,669,153,516
CUST00297,Platinum,978,390,588
CUST00298,Gold,695,274,421
CUST00299,Bronze,59,26,33
CUST00300,Gold,1889,775,1114
CUST00301,Bronze,60,29,31
CUST00302,Gold,502,203,299
CUST00303,Bronze,917,260,657
CUST00304,Bronze,42,13,29
CUST00305,Silver,1391,628,763
CUST00306,Silver,1887,245,1642
CUST00307,Bronze,93,17,76
CUST00308,Gold,804,84,720
CUST00309,Bronze,263,129,134
CUST00310,Bronze,341,78,263
CUST00311,Silver,718,4,714
CUST00312,Bronze,226,4,222
CUST00313,Silver,1418,5,1413
CUST00314,Platinum,1547,925,622
CUST00315,Bronze,1000,13,987
CUST00316,Bronze,52,7,45
CUST00317,Silver,532,108,424
CUST00318,Bronze,134,56,78
CUST00319,Bronze,907,269,638
CUST00320,Bronze,96,12,84
CUST00321,Platinum,2974,916,2058
CUST00322,Silver,347,130,217
CUST00323,Gold,1694,277,1417
CUST00324,Bronze,70,31,39
CUST00325,Bronze,92,46,46
CUST00326,Bronze,1054,99,955
CUST00327,Silver,532,8,524
CUST00328,Bronze,812,388,424
CUST00329,Silver,1656,486,1170
CUST00330,Gold,821,123,698
CUST00331,Bronze,184,64,120
CUST00332,Bronze,61,11,50
CUST00333,Bronze,177,24,153
CUST00334,Silver,262,46,216
CUST00335,Gold,2658,301,2357
CUST00336,Gold,1334,332,1002
CUST00337,Silver,1435,740,695
CUST00338,Gold,702,339,363
CUST00339,Bronze,866,228,638
CUST00340,Platinum,2595,457,2138
CUST00341,Platinum,1403,492,911
CUST00342,Bronze,377,109,268
CUST00343,Platinum,1264,168,1096
CUST00344,Bronze,181,82,99
CUST00345,Gold,549,72,477
CUST00346,Bronze,508,107,401
CUST00347,Silver,760,368,392
CUST00348,Bronze,429,120,309
CUST00349,Silver,373,68,305
CUST00350,Silver,831,168,663
CUST00351,Bronze,1523,45,1478
CUST00352,Bronze,737,59,678
CUST00353,Bronze,190,43,147
CUST00354,Silver,2114,565,1549
CUST00355,Platinum,5084,485,4599
CUST00356,Bronze,985,482,503
CUST00357,Silver,122,63,59
CUST00358,Bronze,510,207,303
CUST00359,Platinum,2119,755,1364
CUST00360,Bronze,557,236,321
CUST00361,Gold,1155,551,604
CUST00362,Bronze,335,107,228
CUST00363,Bronze,26,13,13
CUST00364,Bronze,359,20,339
CUST00365,Gold,831,21,810
CUST00366,Silver,921,51,870
CUST00367,Silver,1040,36,1004
CUST00368,Silver,831,9,822
CUST00369,Bronze,118,44,74
CUST00370,Bronze,184,76,108
CUST00371,Silver,2153,176,1977
CUST00372,Bronze,526,62,464
CUST00373,Platinum,3405,1084,2321
CUST00374,Bronze,227,97,130
CUST00375,Bronze,409,41,368
CUST00376,Platinum,2790,1319,1471
CUST00377,Bronze,128,34,94
CUST00378,Bronze,735,255,480
CUST00379,Silver,754,311,443
CUST00380,Silver,329,192,137
CUST00381,Bronze,60,15,45
CUST00382,Gold,1231,638,593
CUST00383,Silver,697,110,587
CUST00384,Gold,2231,1281,950
CUST00385,Gold,1881,422,1459
CUST00386,Gold,1329,308,1021
CUST00387,Silver,653,260,393
CUST00388,Bronze,407,170,237
CUST00389,Silver,1415,591,824
CUST00390,Platinum,2604,174,2430
CUST00391,Bronze,264,73,191
CUST00392,Bronze,427,28,399
CUST00393,Bronze,116,16,100
CUST00394,Bronze,114,50,64
CUST00395,Bronze,266,150,116
CUST00396,Silver,485,199,286
CUST00397,Platinum,3029,461,2568
CUST00398,Bronze,191,11,180
CUST00399,Bronze,87,20,67
CUST00400,Gold,1784,711,1073
CUST00401,Gold,897,359,538
CUST00402,Silver,815,346,469
CUST00403,Silver,255,134,121
CUST00404,Bronze,1089,48,1041
CUST00405,Silver,324,166,158
CUST00406,Silver,791,9,782
CUST00407,Bronze,723,257,466
CUST00408,Platinum,1934,984,950
CUST00409,Gold,927,379,548
CUST00410,Silver,547,255,292
CUST00411,Silver,629,173,456
CUST00412,Bronze,168,58,110
CUST00413,Silver,899,336,563
CUST00414,Bronze,54,6,48
CUST00415,Silver,270,54,216
CUST00416,Silver,253,28,225
CUST00417,Bronze,412,130,282
CUST00418,Silver,508,114,394
CUST00419,Bronze,86,47,39
CUST00420,Bronze,14,8,6
CUST00421,Bronze,440,69,371
CUST00422,Silver,1214,197,1017
CUST00423,Platinum,968,502,466
CUST00424,Silver,265,13,252
CUST00425,Silver,1813,575,1238
CUST00426,Bronze,96,17,79
CUST00427,Bronze,37,8,29
CUST00428,Silver,876,397,479
CUST00429,Silver,1202,548,654
CUST00430,Silver,845,477,368
CUST00431,Bronze,158,81,77
CUST00432,Bronze,840,163,677
CUST00433,Silver,905,16,889
CUST00434,Gold,1108,107,1001
CUST00435,Silver,986,202,784
CUST00436,Silver,1107,646,461
CUST00437,Bronze,802,277,525
CUST00438,Silver,822,44,778
CUST00439,Bronze,239,62,177
CUST00440,Silver,1995,1037,958
CUST00441,Platinum,3366,751,2615
CUST00442,Silver,1044,305,739
CUST00443,Platinum,4264,447,3817
CUST00444,Bronze,215,79,136
CUST00445,Bronze,414,45,369
CUST00446,Bronze,485,115,370
CUST00447,Bronze,15,2,13
CUST00448,Bronze,683,206,477
CUST00449,Bronze,850,378,472
CUST00450,Silver,1039,286,753
CUST00451,Bronze,803,165,638
CUST00452,Bronze,208,58,150
CUST00453,Gold,980,47,933
CUST00454,Platinum,3220,134,3086
CUST00455,Bronze,358,120,238
CUST00456,Bronze,20,12,8
CUST00457,Bronze,744,229,515
CUST00458,Gold,1923,511,1412
CUST00459,Bronze,320,58,262
CUST00460,Bronze,49,26,23
CUST00461,Bronze,454,249,205
CUST00462,Silver,1097,38,1059
CUST00463,Platinum,2421,136,2285
CUST00464,Bronze,343,12,331
CUST00465,Bronze,307,108,199
CUST00466,Silver,926,370,556
CUST00467,Bronze,549,98,451
CUST00468,Silver,877,411,466
CUST00469,Bronze,415,11,404
CUST00470,Bronze,25,11,14
CUST00471,Gold,1461,301,1160
CUST00472,Gold,1448,808,640
CUST00473,Bronze,427,249,178
CUST00474,Gold,866,84,782
CUST00475,Bronze,595,94,501
CUST00476,Silver,328,121,207
CUST00477,Gold,1547,591,956
CUST00478,Silver,348,59,289
CUST00479,Silver,651,40,611
CUST00480,Silver,608,321,287
CUST00481,Silver,1366,38,1328
CUST00482,Bronze,223,39,184
CUST00483,Bronze,71,24,47
CUST00484,Bronze,764,84,680
CUST00485,Silver,210,82,128
CUST00486,Bronze,80,41,39
CUST00487,Gold,2521,984,1537
CUST00488,Bronze,107,59,48
CUST00489,Bronze,266,80,186
CUST00490,Bronze,1099,428,671
CUST00491,Bronze,449,0,449
CUST00492,Silver,428,222,206
CUST00493,Bronze,647,355,292
CUST00494,Bronze,123,2,121
CUST00495,Bronze,98,19,79
CUST00496,Bronze,523,59,464
CUST00497,Bronze,46,16,30
CUST00498,Silver,498,222,276
CUST00499,Platinum,2161,1262,899
CUST00500,Silver,1011,397,614
