transaction_id,customer_id,transaction_date,channel,product_category,quantity,unit_price,total_amount
TXN0000127,CUST00020,2026-02-24,In-Store,Electronics,4,21.11,84.46
TXN0000128,CUST00020,2026-05-03,Website,Home & Kitchen,1,143.56,143.56
TXN0000129,CUST00020,2025-12-21,In-Store,Books,2,7.24,14.47
TXN0000130,CUST00020,2025-10-07,In-Store,Groceries,3,5.64,16.92
TXN0000131,CUST00020,2025-12-31,Website,Sports & Outdoors,3,24.61,73.84
TXN0000132,CUST00021,2026-02-15,Website,Groceries,2,29.73,59.45
TXN0000133,CUST00021,2026-03-20,Mobile App,Apparel,1,110.0,110.0
TXN0000134,CUST00022,2026-04-24,Mobile App,Home & Kitchen,4,46.56,186.23
TXN0000135,CUST00022,2026-01-24,Website,Sports & Outdoors,4,51.76,207.02
TXN0000136,CUST00023,2026-05-23,Website,Apparel,1,45.91,45.91
TXN0000137,CUST00023,2026-06-25,Mobile App,Apparel,3,9.64,28.93
TXN0000138,CUST00023,2025-12-07,In-Store,Home & Kitchen,2,63.58,127.16
TXN0000139,CUST00023,2026-06-28,Mobile App,Home & Kitchen,1,39.16,39.16
TXN0000140,CUST00023,2026-06-13,Mobile App,Home & Kitchen,2,71.61,143.23
TXN0000141,CUST00023,2026-03-03,Mobile App,Home & Kitchen,4,69.39,277.57
TXN0000142,CUST00023,2025-09-05,In-Store,Apparel,2,68.02,136.04
TXN0000143,CUST00023,2025-10-18,In-Store,Books,4,4.81,19.25
TXN0000144,CUST00023,2026-04-25,Website,Home & Kitchen,1,89.38,89.38
TXN0000145,CUST00024,2025-11-06,Mobile App,Groceries,1,63.42,63.42
TXN0000146,CUST00024,2026-05-24,In-Store,Groceries,2,10.21,20.41
TXN0000147,CUST00025,2025-10-23,Website,Electronics,2,318.93,637.85
TXN0000148,CUST00025,2025-12-08,Mobile App,Apparel,1,47.55,47.55
TXN0000149,CUST00025,2025-11-25,Mobile App,Electronics,3,263.39,790.16
TXN0000150,CUST00025,2026-06-25,Website,Books,2,9.85,19.69
TXN0000151,CUST00026,2026-07-16,In-Store,Apparel,1,17.25,17.25
TXN0000152,CUST00026,2026-05-31,Website,Beauty,1,13.58,13.58
TXN0000153,CUST00026,2026-07-24,In-Store,Books,4,6.05,24.21
TXN0000154,CUST00026,2026-04-30,Mobile App,Books,2,5.32,10.64
TXN0000155,CUST00027,2026-07-07,Website,Apparel,2,42.02,84.03
TXN0000156,CUST00027,2026-01-13,In-Store,Home & Kitchen,4,42.55,170.19
TXN0000157,CUST00027,2026-07-20,Mobile App,Apparel,4,14.22,56.87
TXN0000158,CUST00027,2026-06-18,Mobile App,Beauty,1,15.21,15.21
TXN0000159,CUST00027,2026-07-19,In-Store,Apparel,1,76.21,76.21
TXN0000160,CUST00027,2026-06-19,Website,Home & Kitchen,2,26.72,53.44
TXN0000161,CUST00028,2026-08-07,Website,Sports & Outdoors,3,45.97,137.91
TXN0000162,CUST00029,2026-03-05,Website,Groceries,1,59.97,59.97
TXN0000163,CUST00029,2026-07-05,In-Store,Electronics,4,75.31,301.26
TXN0000164,CUST00029,2026-07-08,Website,Apparel,1,50.5,50.5
TXN0000165,CUST00029,2026-03-16,Mobile App,Sports & Outdoors,2,14.02,28.03
TXN0000166,CUST00029,2026-06-08,Website,Groceries,1,63.0,63.0
TXN0000167,CUST00029,2026-08-05,Website,Electronics,1,83.03,83.03
TXN0000168,CUST00029,2026-04-08,Website,Toys,2,19.56,39.12
TXN0000169,CUST00029,2026-08-12,Website,Electronics,4,116.16,464.65
TXN0000170,CUST00029,2026-08-16,Website,Beauty,3,15.82,47.46
TXN0000171,CUST00029,2026-03-22,Website,Apparel,1,92.16,92.16
TXN0000172,CUST00029,2026-05-14,Mobile App,Electronics,1,184.51,184.51
TXN0000173,CUST00029,2026-01-14,In-Store,Apparel,3,44.46,133.39
TXN0000174,CUST00029,2026-03-08,In-Store,Groceries,4,7.39,29.55
TXN0000175,CUST00029,2026-05-29,Website,Beauty,3,12.08,36.24
TXN0000176,CUST00029,2026-07-04,Mobile App,Beauty,4,12.94,51.75
TXN0000177,CUST00029,2026-07-24,In-Store,Beauty,2,37.96,75.92
TXN0000178,CUST00030,2026-07-25,Website,Books,3,2.92,8.77
TXN0000179,CUST00030,2026-08-07,Mobile App,Electronics,1,763.24,763.24
TXN0000180,CUST00030,2026-07-05,In-Store,Books,3,11.72,35.17
TXN0000181,CUST00030,2026-06-26,Website,Beauty,1,47.78,47.78
TXN0000182,CUST00030,2026-07-13,In-Store,Home & Kitchen,1,219.26,219.26
TXN0000183,CUST00030,2026-06-10,Website,Beauty,4,22.69,90.76
TXN0000184,CUST00030,2026-06-19,Mobile App,Sports & Outdoors,1,122.74,122.74
TXN0000185,CUST00030,2026-07-16,Mobile App,Home & Kitchen,4,49.6,198.42
TXN0000186,CUST00030,2026-08-16,Website,Electronics,2,188.12,376.24
TXN0000187,CUST00030,2026-04-30,Website,Groceries,4,17.2,68.82
TXN0000188,CUST00031,2025-10-29,Website,Groceries,2,11.26,22.52
TXN0000189,CUST00031,2026-04-29,Website,Apparel,2,17.99,35.98
TXN0000190,CUST00031,2025-11-02,Mobile App,Sports & Outdoors,3,36.84,110.53
TXN0000191,CUST00031,2025-10-28,In-Store,Beauty,4,12.67,50.67
TXN0000192,CUST00031,2026-02-27,Website,Apparel,3,9.07,27.21
TXN0000193,CUST00031,2026-01-09,In-Store,Electronics,3,70.42,211.27
TXN0000194,CUST00031,2026-01-28,Website,Beauty,4,24.29,97.16
TXN0000195,CUST00031,2026-03-15,Mobile App,Groceries,2,12.26,24.51
TXN0000196,CUST00031,2025-10-12,Website,Books,2,17.68,35.35
TXN0000197,CUST00031,2026-03-25,Website,Apparel,2,61.77,123.53
TXN0000198,CUST00031,2025-11-26,Website,Electronics,2,336.39,672.78
TXN0000199,CUST00031,2025-12-24,Website,Books,1,19.91,19.91
TXN0000200,CUST00031,2026-05-09,Mobile App,Groceries,1,73.81,73.81
TXN0000201,CUST00032,2025-10-21,In-Store,Beauty,4,22.8,91.22
TXN0000202,CUST00032,2025-10-21,In-Store,Apparel,3,45.73,137.19
TXN0000203,CUST00032,2025-12-21,Website,Toys,4,3.51,14.05
TXN0000204,CUST00032,2025-09-14,In-Store,Books,4,5.97,23.88
TXN0000205,CUST00033,2026-07-28,Website,Beauty,3,30.58,91.75
TXN0000206,CUST00033,2026-04-05,Website,Home & Kitchen,2,14.85,29.7
TXN0000207,CUST00033,2026-04-22,Mobile App,Toys,4,10.74,42.96
TXN0000208,CUST00033,2026-02-19,Website,Groceries,4,8.43,33.73
TXN0000209,CUST00033,2026-03-21,Website,Beauty,1,66.77,66.77
TXN0000210,CUST00033,2026-01-02,In-Store,Sports & Outdoors,4,31.93,127.73
TXN0000211,CUST00033,2026-06-05,Website,Sports & Outdoors,2,53.13,106.27
TXN0000212,CUST00033,2025-12-19,Website,Beauty,3,4.21,12.64
TXN0000213,CUST00033,2025-11-14,Website,Toys,2,26.18,52.35
TXN0000214,CUST00033,2025-11-01,In-Store,Apparel,2,24.23,48.46
TXN0000215,CUST00033,2025-09-20,Website,Electronics,2,311.52,623.04
TXN0000216,CUST00033,2026-02-24,Mobile App,Books,2,9.68,19.35
TXN0000217,CUST00033,2026-01-23,Website,Sports & Outdoors,3,68.15,204.46
TXN0000218,CUST00033,2026-03-08,In-Store,Electronics,3,192.53,577.59
TXN0000219,CUST00034,2025-09-29,Mobile App,Beauty,4,21.32,85.3
TXN0000220,CUST00034,2025-11-14,Mobile App,Home & Kitchen,1,157.32,157.32
TXN0000221,CUST00034,2025-11-11,Website,Beauty,4,2.95,11.79
TXN0000222,CUST00034,2025-12-24,Website,Beauty,3,27.53,82.58
TXN0000223,CUST00034,2026-01-03,Mobile App,Sports & Outdoors,2,14.5,29.0
TXN0000224,CUST00034,2025-11-13,Mobile App,Home & Kitchen,3,78.94,236.82
TXN0000225,CUST00034,2026-05-24,In-Store,Sports & Outdoors,4,45.14,180.57
TXN0000226,CUST00034,2026-03-05,Mobile App,Sports & Outdoors,2,42.95,85.91
TXN0000227,CUST00034,2026-08-20,In-Store,Books,4,8.34,33.34
TXN0000228,CUST00034,2026-06-19,Mobile App,Home & Kitchen,3,72.67,218.01
TXN0000229,CUST00034,2026-08-15,Website,Home & Kitchen,3,41.98,125.95
TXN0000230,CUST00034,2025-08-30,Website,Electronics,4,190.4,761.59
TXN0000231,CUST00034,2026-04-24,In-Store,Electronics,3,62.19,186.56
TXN0000232,CUST00034,2026-02-03,In-Store,Beauty,1,67.57,67.57
TXN0000233,CUST00034,2026-07-18,In-Store,Home & Kitchen,1,112.73,112.73
TXN0000234,CUST00034,2026-04-04,Website,Sports & Outdoors,1,54.45,54.45
TXN0000235,CUST00034,2026-04-07,In-Store,Sports & Outdoors,3,39.99,119.96
TXN0000236,CUST00034,2026-08-07,Website,Apparel,1,62.31,62.31
TXN0000237,CUST00034,2026-04-29,Mobile App,Electronics,4,84.86,339.45
TXN0000238,CUST00034,2025-12-20,In-Store,Books,4,5.95,23.78
TXN0000239,CUST00034,2026-07-22,Website,Books,4,2.81,11.25
TXN0000240,CUST00034,2026-08-02,In-Store,Beauty,1,24.64,24.64
TXN0000241,CUST00034,2026-01-12,In-Store,Electronics,3,90.39,271.18
TXN0000242,CUST00035,2026-03-09,In-Store,Apparel,4,15.29,61.14
TXN0000243,CUST00035,2025-12-06,Website,Apparel,1,88.85,88.85
TXN0000244,CUST00035,2026-07-21,Website,Toys,4,16.59,66.36
TXN0000245,CUST00035,2026-06-18,In-Store,Home & Kitchen,4,47.51,190.05
TXN0000246,CUST00035,2026-01-08,Website,Apparel,2,29.85,59.7
TXN0000247,CUST00035,2026-06-12,Mobile App,Groceries,3,18.18,54.54
TXN0000248,CUST00035,2026-02-03,Website,Electronics,4,86.17,344.68
TXN0000249,CUST00035,2025-09-11,Website,Sports & Outdoors,1,15.9,15.9
TXN0000250,CUST00035,2026-07-16,Website,Toys,1,25.97,25.97
TXN0000251,CUST00035,2025-11-04,Website,Groceries,4,19.57,78.28
TXN0000252,CUST00035,2026-02-28,In-Store,Groceries,4,15.97,63.87
TXN0000253,CUST00035,2026-08-03,Mobile App,Groceries,4,2.96,11.84
TXN0000254,CUST00035,2025-10-26,Website,Books,4,4.96,19.82
TXN0000255,CUST00035,2026-08-06,Website,Toys,2,23.6,47.2
TXN0000256,CUST00035,2026-03-08,In-Store,Electronics,1,163.35,163.35
TXN0000257,CUST00035,2025-08-29,Website,Sports & Outdoors,4,51.23,204.92
TXN0000258,CUST00035,2025-09-19,In-Store,Beauty,4,14.96,59.82
TXN0000259,CUST00035,2026-04-25,In-Store,Books,4,9.72,38.9
TXN0000260,CUST00036,2026-07-31,In-Store,Toys,4,8.48,33.91
TXN0000261,CUST00036,2026-08-09,In-Store,Electronics,2,213.29,426.58
TXN0000262,CUST00036,2026-06-29,Website,Toys,2,11.91,23.83
TXN0000263,CUST00036,2026-05-30,In-Store,Beauty,4,5.34,21.36
TXN0000264,CUST00036,2026-07-10,Website,Books,2,7.23,14.46
TXN0000265,CUST00036,2026-07-25,In-Store,Groceries,1,28.98,28.98
TXN0000266,CUST00036,2026-08-19,Website,Books,3,8.56,25.67
TXN0000267,CUST00036,2026-08-01,Mobile App,Electronics,4,159.98,639.91
TXN0000268,CUST00036,2026-07-20,Website,Home & Kitchen,1,61.5,61.5
TXN0000269,CUST00036,2026-08-16,In-Store,Apparel,3,40.36,121.08
TXN0000270,CUST00036,2026-07-29,In-Store,Groceries,4,8.43,33.73
TXN0000271,CUST00036,2026-06-04,Mobile App,Toys,3,4.33,13.0
TXN0000272,CUST00036,2026-07-02,Mobile App,Books,3,3.08,9.24
TXN0000273,CUST00036,2026-06-20,Mobile App,Electronics,3,203.1,609.31
TXN0000274,CUST00036,2026-05-29,In-Store,Electronics,3,101.13,303.4
TXN0000275,CUST00036,2026-05-26,Website,Toys,1,78.66,78.66
TXN0000276,CUST00036,2026-08-02,In-Store,Beauty,4,5.52,22.09
TXN0000277,CUST00036,2026-07-11,In-Store,Sports & Outdoors,4,19.58,78.31
TXN0000278,CUST00036,2026-07-13,Mobile App,Apparel,2,20.18,40.37
TXN0000279,CUST00036,2026-06-11,In-Store,Books,3,10.57,31.71
TXN0000280,CUST00036,2026-06-14,In-Store,Home & Kitchen,4,9.59,38.37
TXN0000281,CUST00036,2026-06-26,Website,Electronics,2,90.15,180.3
TXN0000282,CUST00036,2026-07-18,In-Store,Beauty,1,12.98,12.98
TXN0000283,CUST00037,2026-01-29,Mobile App,Groceries,4,8.16,32.63
TXN0000284,CUST00037,2025-09-02,Mobile App,Apparel,2,53.48,106.96
TXN0000285,CUST00037,2026-04-26,Website,Toys,4,6.05,24.21
TXN0000286,CUST00038,2026-03-08,Mobile App,Sports & Outdoors,3,17.81,53.43
TXN0000287,CUST00038,2026-04-15,Mobile App,Apparel,4,13.37,53.48
TXN0000288,CUST00038,2026-04-07,Website,Beauty,2,43.57,87.14
TXN0000289,CUST00038,2026-05-26,Mobile App,Groceries,1,53.87,53.87
TXN0000290,CUST00038,2026-03-27,In-Store,Electronics,2,202.78,405.57
TXN0000291,CUST00038,2026-05-07,Mobile App,Electronics,3,72.61,217.83
TXN0000292,CUST00038,2025-09-24,Mobile App,Groceries,4,9.2,36.79
TXN0000293,CUST00038,2026-07-27,In-Store,Toys,4,7.54,30.16
TXN0000294,CUST00039,2025-10-04,Mobile App,Books,1,26.7,26.7
TXN0000295,CUST00039,2026-06-06,Mobile App,Sports & Outdoors,3,48.98,146.94
TXN0000296,CUST00039,2025-12-13,Website,Apparel,3,26.68,80.03
TXN0000297,CUST00039,2025-09-27,In-Store,Sports & Outdoors,3,72.48,217.45
TXN0000298,CUST00039,2026-05-29,Mobile App,Groceries,2,9.56,19.13
TXN0000299,CUST00039,2026-01-31,In-Store,Books,2,14.57,29.14
TXN0000300,CUST00039,2026-01-16,Mobile App,Toys,3,29.93,89.8
TXN0000301,CUST00039,2026-04-21,In-Store,Books,1,20.42,20.42
TXN0000302,CUST00039,2026-02-13,Mobile App,Beauty,2,20.45,40.89
TXN0000303,CUST00039,2026-03-07,Mobile App,Toys,3,27.51,82.52
TXN0000304,CUST00039,2025-10-15,Mobile App,Home & Kitchen,2,127.69,255.38
TXN0000305,CUST00039,2026-01-14,Website,Toys,3,6.75,20.24
TXN0000306,CUST00040,2026-06-10,In-Store,Home & Kitchen,3,95.05,285.14
TXN0000307,CUST00040,2026-03-11,Mobile App,Beauty,3,13.99,41.98
TXN0000308,CUST00040,2026-08-07,Mobile App,Sports & Outdoors,3,34.12,102.35
TXN0000309,CUST00040,2025-10-17,Mobile App,Apparel,1,78.52,78.52
TXN0000310,CUST00040,2026-04-27,Mobile App,Beauty,4,13.76,55.04
TXN0000311,CUST00041,2026-07-22,Website,Electronics,2,351.57,703.14
TXN0000312,CUST00041,2026-06-09,Website,Beauty,4,10.21,40.84
TXN0000313,CUST00041,2026-05-16,Website,Home & Kitchen,4,59.52,238.1
TXN0000314,CUST00041,2026-01-08,Website,Home & Kitchen,1,107.76,107.76
TXN0000315,CUST00041,2026-08-03,Website,Groceries,2,10.35,20.7
TXN0000316,CUST00042,2026-03-14,Mobile App,Apparel,4,8.12,32.47
TXN0000317,CUST00042,2026-03-14,Mobile App,Books,4,5.43,21.73
TXN0000318,CUST00042,2025-10-10,Website,Electronics,3,150.11,450.34
TXN0000319,CUST00042,2025-08-28,In-Store,Sports & Outdoors,2,96.43,192.86
TXN0000320,CUST00042,2026-03-29,Website,Electronics,2,260.01,520.02
TXN0000321,CUST00042,2026-03-08,Website,Sports & Outdoors,1,88.34,88.34
TXN0000322,CUST00042,2026-08-02,Website,Groceries,1,17.53,17.53
TXN0000323,CUST00042,2025-12-14,Website,Groceries,3,13.06,39.19
TXN0000324,CUST00042,2026-05-23,Mobile App,Home & Kitchen,4,28.99,115.97
TXN0000325,CUST00042,2026-07-18,Website,Beauty,4,6.21,24.84
TXN0000326,CUST00043,2025-12-28,Website,Home & Kitchen,1,79.13,79.13
TXN0000327,CUST00043,2026-01-22,Mobile App,Home & Kitchen,1,54.49,54.49
TXN0000328,CUST00043,2026-04-16,Website,Groceries,1,62.84,62.84
TXN0000329,CUST00043,2026-02-27,Mobile App,Electronics,1,546.48,546.48
TXN0000330,CUST00044,2026-01-26,Mobile App,Books,1,22.22,22.22
TXN0000331,CUST00044,2026-02-10,Mobile App,Toys,2,33.08,66.15
TXN0000332,CUST00044,2026-07-12,Mobile App,Electronics,1,275.84,275.84
TXN0000333,CUST00044,2026-02-03,Mobile App,Groceries,2,25.86,51.71
TXN0000334,CUST00045,2025-10-31,In-Store,Apparel,1,84.06,84.06
TXN0000335,CUST00045,2026-06-10,Website,Apparel,2,41.09,82.19
TXN0000336,CUST00045,2026-06-29,In-Store,Beauty,4,10.55,42.21
TXN0000337,CUST00045,2026-06-29,Website,Electronics,2,230.55,461.1
TXN0000338,CUST00046,2026-08-13,Website,Electronics,1,59.56,59.56
TXN0000339,CUST00046,2026-08-21,In-Store,Toys,1,21.93,21.93
TXN0000340,CUST00046,2026-06-16,In-Store,Apparel,1,112.68,112.68
TXN0000341,CUST00046,2026-06-27,In-Store,Beauty,3,17.04,51.11
TXN0000342,CUST00047,2025-12-09,Mobile App,Apparel,1,124.78,124.78
TXN0000343,CUST00047,2025-09-20,In-Store,Sports & Outdoors,3,67.79,203.38
TXN0000344,CUST00047,2025-10-01,Mobile App,Apparel,1,27.82,27.82
