session_id,customer_id,session_date,device,pages_viewed,duration_minutes,resulted_in_purchase
SESS0000058,CUST00006,2026-06-19,Website - Desktop,15,28.0,False
SESS0000059,CUST00006,2026-01-04,Website - Desktop,15,4.5,False
SESS0000060,CUST00006,2025-10-01,Website - Desktop,6,19.3,False
SESS0000061,CUST00006,2026-05-10,Mobile App,24,3.8,True
SESS0000062,CUST00006,2026-06-21,Mobile App,17,7.9,False
SESS0000063,CUST00006,2025-09-25,Website - Desktop,11,7.2,False
SESS0000064,CUST00006,2025-09-18,Website - Mobile Browser,24,11.9,False
SESS0000065,CUST00006,2026-07-12,Mobile App,15,16.8,False
SESS0000066,CUST00006,2026-02-14,Website - Mobile Browser,6,11.4,False
SESS0000067,CUST00006,2026-02-03,Website - Mobile Browser,6,9.6,True
SESS0000068,CUST00006,2026-01-06,Website - Mobile Browser,23,22.7,False
SESS0000069,CUST00007,2026-03-04,Website - Desktop,25,29.4,False
SESS0000070,CUST00007,2026-03-26,Mobile App,22,28.4,False
SESS0000071,CUST00007,2026-03-01,Website - Mobile Browser,12,8.9,False
SESS0000072,CUST00007,2026-01-16,Website - Mobile Browser,5,26.2,False
SESS0000073,CUST00007,2025-11-29,Mobile App,4,4.6,True
SESS0000074,CUST00007,2026-02-22,Website - Mobile Browser,15,8.9,False
SESS0000075,CUST00007,2026-01-26,Website - Mobile Browser,24,29.3,False
SESS0000076,CUST00007,2026-02-01,Website - Mobile Browser,24,24.6,True
SESS0000077,CUST00007,2026-07-28,Website - Desktop,25,12.2,True
SESS0000078,CUST00007,2026-02-19,Website - Mobile Browser,10,19.5,False
SESS0000079,CUST00007,2026-08-12,Mobile App,16,5.5,True
SESS0000080,CUST00007,2026-06-19,Website - Mobile Browser,18,11.7,True
SESS0000081,CUST00007,2025-10-17,Mobile App,16,10.9,True
SESS0000082,CUST00007,2025-10-11,Website - Mobile Browser,2,24.1,True
SESS0000083,CUST00007,2026-05-10,Website - Desktop,8,24.9,False
SESS0000084,CUST00007,2025-10-12,Website - Mobile Browser,21,6.2,False
SESS0000085,CUST00008,2026-05-07,Website - Desktop,24,16.6,False
SESS0000086,CUST00008,2026-07-03,Website - Desktop,20,26.9,False
SESS0000087,CUST00008,2025-10-08,Mobile App,10,0.8,False
SESS0000088,CUST00008,2025-11-11,Website - Mobile Browser,21,22.3,False
SESS0000089,CUST00008,2026-02-13,Website - Mobile Browser,13,13.5,False
SESS0000090,CUST00008,2026-05-22,Website - Mobile Browser,3,25.4,False
SESS0000091,CUST00008,2026-08-01,Mobile App,9,8.0,False
SESS0000092,CUST00008,2026-01-06,Website - Desktop,9,8.2,True
SESS0000093,CUST00008,2026-08-04,Website - Mobile Browser,7,24.7,False
SESS0000094,CUST00008,2026-03-31,Website - Mobile Browser,3,14.5,False
SESS0000095,CUST00008,2026-01-21,Website - Desktop,23,23.6,True
SESS0000096,CUST00008,2025-10-09,Website - Mobile Browser,22,19.7,False
SESS0000097,CUST00008,2026-03-20,Website - Mobile Browser,22,10.0,False
SESS0000098,CUST00008,2025-09-10,Mobile App,5,16.3,False
SESS0000099,CUST00009,2026-04-22,Website - Mobile Browser,9,26.3,False
SESS0000100,CUST00009,2026-05-24,Website - Mobile Browser,19,17.6,False
SESS0000101,CUST00009,2026-08-20,Website - Mobile Browser,17,23.4,False
SESS0000102,CUST00009,2026-05-14,Website - Mobile Browser,20,2.3,False
SESS0000103,CUST00009,2026-06-09,Website - Desktop,16,17.6,True
SESS0000104,CUST00009,2026-07-23,Website - Desktop,4,8.6,False
SESS0000105,CUST00009,2026-04-21,Mobile App,9,11.6,True
SESS0000106,CUST00009,2026-06-24,Mobile App,24,29.6,False
SESS0000107,CUST00009,2026-04-07,Website - Desktop,23,8.0,False
SESS0000108,CUST00009,2026-08-06,Mobile App,18,19.6,False
SESS0000109,CUST00009,2026-08-06,Mobile App,17,7.4,False
SESS0000110,CUST00009,2026-05-01,Mobile App,5,29.3,False
SESS0000111,CUST00009,2026-07-27,Website - Mobile Browser,18,15.2,False
SESS0000112,CUST00009,2026-06-09,Mobile App,19,6.7,True
SESS0000113,CUST00009,2026-04-18,Website - Mobile Browser,2,21.5,False
SESS0000114,CUST00009,2026-05-20,Mobile App,6,4.8,True
SESS0000115,CUST00009,2026-08-03,Mobile App,1,6.0,True
SESS0000116,CUST00009,2026-05-30,Mobile App,1,2.4,False
SESS0000117,CUST00009,2026-06-21,Website - Desktop,14,11.7,True
SESS0000118,CUST00009,2026-06-20,Mobile App,17,25.3,False
SESS0000119,CUST00009,2026-08-07,Website - Mobile Browser,22,14.7,False
SESS0000120,CUST00009,2026-07-21,Mobile App,18,3.0,False
SESS0000121,CUST00009,2026-06-07,Website - Desktop,13,24.0,False
SESS0000122,CUST00009,2026-07-12,Website - Mobile Browser,8,27.0,False
SESS0000123,CUST00009,2026-06-26,Website - Desktop,21,7.7,False
SESS0000124,CUST00009,2026-07-18,Website - Mobile Browser,17,22.8,False
SESS0000125,CUST00009,2026-06-12,Website - Desktop,14,23.6,False
SESS0000126,CUST00009,2026-06-05,Website - Mobile Browser,21,4.6,False
SESS0000127,CUST00009,2026-06-04,Website - Desktop,19,9.8,False
SESS0000128,CUST00009,2026-06-04,Mobile App,2,0.6,False
SESS0000129,CUST00009,2026-08-02,Mobile App,15,25.1,False
SESS0000130,CUST00009,2026-05-17,Mobile App,1,11.4,False
SESS0000131,CUST00010,2026-08-13,Website - Mobile Browser,19,11.7,False
SESS0000132,CUST00010,2026-08-08,Website - Desktop,1,27.1,True
SESS0000133,CUST00010,2026-07-28,Website - Desktop,22,12.0,False
SESS0000134,CUST00010,2026-07-21,Mobile App,1,27.2,False
SESS0000135,CUST00010,2026-07-28,Website - Desktop,10,26.1,False
SESS0000136,CUST00010,2026-08-03,Website - Mobile Browser,8,29.6,True
SESS0000137,CUST00010,2026-08-20,Website - Desktop,18,10.1,False
SESS0000138,CUST00010,2026-08-17,Website - Mobile Browser,9,23.3,False
SESS0000139,CUST00010,2026-08-11,Website - Mobile Browser,20,0.9,False
SESS0000140,CUST00010,2026-08-07,Mobile App,14,12.9,True
SESS0000141,CUST00010,2026-08-16,Website - Mobile Browser,5,11.6,False
SESS0000142,CUST00010,2026-08-09,Website - Mobile Browser,20,12.5,False
SESS0000143,CUST00010,2026-08-04,Website - Desktop,1,16.1,False
SESS0000144,CUST00010,2026-08-13,Website - Mobile Browser,18,15.8,False
SESS0000145,CUST00010,2026-08-10,Mobile App,16,16.1,False
SESS0000146,CUST00010,2026-08-04,Website - Mobile Browser,16,23.6,True
SESS0000147,CUST00010,2026-07-17,Mobile App,12,24.2,False
SESS0000148,CUST00010,2026-08-03,Website - Desktop,15,25.4,False
SESS0000149,CUST00010,2026-07-19,Website - Desktop,1,20.9,False
SESS0000150,CUST00010,2026-08-06,Mobile App,3,4.4,False
SESS0000151,CUST00010,2026-08-04,Website - Desktop,15,25.6,False
SESS0000152,CUST00011,2026-05-06,Website - Mobile Browser,6,11.7,False
SESS0000153,CUST00011,2026-07-04,Mobile App,18,25.7,False
SESS0000154,CUST00011,2026-05-22,Website - Mobile Browser,12,28.1,False
SESS0000155,CUST00011,2026-06-23,Website - Desktop,12,10.4,False
SESS0000156,CUST00011,2026-08-10,Mobile App,15,14.9,False
SESS0000157,CUST00011,2026-05-14,Mobile App,22,22.6,False
SESS0000158,CUST00011,2026-08-14,Website - Desktop,20,6.0,True
SESS0000159,CUST00011,2026-05-21,Website - Mobile Browser,22,24.0,False
SESS0000160,CUST00011,2026-05-03,Mobile App,9,3.2,False
SESS0000161,CUST00011,2026-07-28,Website - Desktop,5,13.4,True
SESS0000162,CUST00011,2026-05-28,Mobile App,20,28.3,False
SESS0000163,CUST00011,2026-07-19,Website - Mobile Browser,3,13.8,False
SESS0000164,CUST00011,2026-08-09,Website - Desktop,24,22.1,False
SESS0000165,CUST00011,2026-06-20,Mobile App,4,24.8,False
SESS0000166,CUST00011,2026-07-31,Website - Desktop,12,14.8,False
SESS0000167,CUST00011,2026-07-08,Website - Desktop,14,23.5,True
SESS0000168,CUST00011,2026-06-15,Website - Mobile Browser,5,4.2,False
SESS0000169,CUST00011,2026-05-06,Website - Desktop,1,21.5,True
SESS0000170,CUST00011,2026-08-06,Website - Mobile Browser,2,2.4,False
SESS0000171,CUST00011,2026-05-03,Website - Mobile Browser,11,12.6,False
SESS0000172,CUST00011,2026-06-19,Website - Desktop,6,6.7,True
SESS0000173,CUST00011,2026-06-16,Website - Desktop,6,15.3,False
SESS0000174,CUST00011,2026-08-06,Website - Mobile Browser,11,26.7,False
SESS0000175,CUST00011,2026-06-05,Website - Desktop,1,2.2,False
SESS0000176,CUST00011,2026-05-30,Website - Mobile Browser,17,5.9,False
SESS0000177,CUST00011,2026-05-13,Website - Mobile Browser,15,7.6,True
SESS0000178,CUST00011,2026-05-12,Website - Desktop,3,12.0,False
SESS0000179,CUST00011,2026-05-20,Website - Desktop,1,14.7,True
SESS0000180,CUST00011,2026-05-17,Website - Desktop,18,19.4,False
SESS0000181,CUST00011,2026-05-29,Mobile App,3,3.9,False
SESS0000182,CUST00011,2026-05-11,Mobile App,20,5.8,False
SESS0000183,CUST00011,2026-06-04,Mobile App,22,3.0,True
SESS0000184,CUST00011,2026-06-16,Mobile App,24,26.5,False
SESS0000185,CUST00011,2026-05-20,Mobile App,15,2.1,False
SESS0000186,CUST00011,2026-07-09,Mobile App,2,1.5,True
SESS0000187,CUST00011,2026-06-06,Website - Desktop,19,9.8,True
SESS0000188,CUST00012,2025-09-05,Website - Desktop,23,25.0,False
SESS0000189,CUST00012,2025-09-17,Website - Mobile Browser,19,23.7,False
SESS0000190,CUST00012,2026-01-14,Website - Desktop,23,9.1,False
SESS0000191,CUST00012,2025-12-20,Mobile App,19,15.9,False
SESS0000192,CUST00012,2026-01-22,Website - Mobile Browser,19,6.8,False
SESS0000193,CUST00012,2025-12-21,Website - Desktop,5,18.1,False
SESS0000194,CUST00012,2026-01-09,Website - Desktop,25,3.9,False
SESS0000195,CUST00012,2026-06-20,Mobile App,20,23.9,False
SESS0000196,CUST00012,2025-10-09,Mobile App,16,6.5,False
SESS0000197,CUST00012,2025-11-07,Website - Mobile Browser,3,6.8,False
SESS0000198,CUST00012,2026-05-24,Mobile App,2,8.1,True
SESS0000199,CUST00012,2026-03-25,Website - Desktop,25,17.1,False
SESS0000200,CUST00012,2026-02-20,Mobile App,22,5.9,False
SESS0000201,CUST00012,2026-05-24,Website - Desktop,7,29.1,False
SESS0000202,CUST00012,2026-01-12,Website - Mobile Browser,12,13.4,False
SESS0000203,CUST00012,2025-10-07,Mobile App,11,26.2,True
SESS0000204,CUST00012,2025-09-17,Website - Mobile Browser,2,12.5,False
SESS0000205,CUST00012,2026-02-10,Website - Mobile Browser,14,1.6,False
SESS0000206,CUST00012,2026-01-20,Mobile App,19,16.7,False
SESS0000207,CUST00012,2026-02-17,Website - Desktop,10,28.0,False
SESS0000208,CUST00012,2026-01-20,Website - Mobile Browser,10,29.0,False
SESS0000209,CUST00012,2025-11-19,Mobile App,13,27.7,False
SESS0000210,CUST00012,2026-07-12,Website - Mobile Browser,10,12.5,True
SESS0000211,CUST00012,2025-12-01,Mobile App,11,10.4,False
SESS0000212,CUST00012,2026-08-08,Website - Desktop,9,21.3,False
SESS0000213,CUST00012,2026-04-27,Website - Desktop,20,10.4,True
SESS0000214,CUST00012,2025-11-23,Website - Desktop,6,6.6,True
SESS0000215,CUST00012,2026-03-14,Mobile App,20,1.5,False
SESS0000216,CUST00012,2026-06-05,Website - Desktop,4,1.8,False
SESS0000217,CUST00012,2025-12-14,Website - Desktop,24,1.3,False
SESS0000218,CUST00013,2026-07-28,Mobile App,4,28.6,False
SESS0000219,CUST00013,2026-07-15,Website - Desktop,25,15.5,False
SESS0000220,CUST00013,2026-08-07,Website - Mobile Browser,22,1.1,False
SESS0000221,CUST00013,2026-07-20,Website - Desktop,23,28.3,False
SESS0000222,CUST00013,2026-08-20,Mobile App,22,21.2,True
SESS0000223,CUST00013,2026-07-27,Mobile App,13,21.7,False
SESS0000224,CUST00014,2026-08-20,Website - Desktop,9,21.1,True
SESS0000225,CUST00014,2026-08-01,Mobile App,1,26.8,False
SESS0000226,CUST00014,2026-07-09,Mobile App,15,27.1,False
SESS0000227,CUST00014,2026-06-28,Website - Mobile Browser,12,26.2,True
SESS0000228,CUST00014,2026-08-13,Mobile App,14,22.9,False
SESS0000229,CUST00014,2026-06-30,Mobile App,3,9.9,False
SESS0000230,CUST00014,2026-05-19,Website - Mobile Browser,6,27.2,False
SESS0000231,CUST00014,2026-07-02,Website - Mobile Browser,22,20.7,False
SESS0000232,CUST00014,2026-08-05,Website - Mobile Browser,20,10.5,False
SESS0000233,CUST00014,2026-06-15,Mobile App,16,3.4,False
SESS0000234,CUST00014,2026-08-19,Mobile App,5,14.2,False
SESS0000235,CUST00014,2026-05-19,Website - Desktop,23,22.4,False
SESS0000236,CUST00014,2026-08-15,Website - Mobile Browser,1,27.4,False
SESS0000237,CUST00014,2026-07-03,Mobile App,2,0.8,False
SESS0000238,CUST00015,2026-03-30,Mobile App,10,23.3,True
SESS0000239,CUST00015,2026-06-25,Website - Mobile Browser,19,4.0,False
SESS0000240,CUST00015,2026-01-11,Mobile App,2,26.4,False
SESS0000241,CUST00015,2026-01-01,Website - Mobile Browser,20,21.1,False
SESS0000242,CUST00015,2026-04-11,Mobile App,3,16.5,False
SESS0000243,CUST00015,2026-03-26,Mobile App,8,29.7,False
SESS0000244,CUST00015,2026-02-27,Website - Mobile Browser,20,26.8,False
SESS0000245,CUST00015,2025-09-13,Website - Desktop,12,22.9,False
SESS0000246,CUST00015,2026-05-20,Website - Desktop,22,17.2,True
SESS0000247,CUST00015,2026-03-18,Website - Desktop,13,2.6,True
SESS0000248,CUST00015,2025-12-13,Website - Desktop,19,28.2,True
SESS0000249,CUST00015,2026-01-16,Mobile App,13,17.4,False
SESS0000250,CUST00015,2025-10-11,Website - Mobile Browser,2,2.7,False
SESS0000251,CUST00015,2025-10-17,Website - Desktop,16,8.3,False
SESS0000252,CUST00015,2026-03-15,Mobile App,16,15.3,False
SESS0000253,CUST00015,2025-12-06,Mobile App,23,26.7,True
SESS0000254,CUST00015,2026-01-30,Mobile App,19,25.5,False
SESS0000255,CUST00015,2026-04-04,Website - Mobile Browser,12,25.9,True
SESS0000256,CUST00015,2026-08-06,Website - Desktop,16,14.0,False
SESS0000257,CUST00015,2025-12-20,Mobile App,11,10.2,True
SESS0000258,CUST00015,2026-04-29,Website - Mobile Browser,12,24.9,True
SESS0000259,CUST00015,2025-12-29,Mobile App,13,9.7,True
SESS0000260,CUST00015,2025-11-29,Website - Desktop,6,8.9,False
SESS0000261,CUST00015,2026-05-25,Website - Desktop,6,17.7,False
SESS0000262,CUST00015,2026-02-06,Website - Mobile Browser,19,21.2,True
SESS0000263,CUST00015,2025-11-24,Mobile App,10,10.3,True
SESS0000264,CUST00015,2026-08-15,Mobile App,24,23.7,False
SESS0000265,CUST00015,2025-12-28,Website - Mobile Browser,14,25.2,True
SESS0000266,CUST00015,2026-02-09,Mobile App,1,19.3,False
SESS0000267,CUST00015,2026-03-31,Website - Mobile Browser,14,15.6,False
SESS0000268,CUST00015,2025-09-02,Mobile App,4,3.1,False
SESS0000269,CUST00015,2026-05-03,Mobile App,5,18.7,True
SESS0000270,CUST00015,2026-04-17,Website - Mobile Browser,11,28.8,False
SESS0000271,CUST00015,2025-08-28,Website - Desktop,11,22.7,False
SESS0000272,CUST00015,2026-02-15,Website - Mobile Browser,18,13.8,False
SESS0000273,CUST00015,2026-07-17,Mobile App,3,5.5,False
SESS0000274,CUST00015,2026-04-26,Website - Desktop,10,5.4,True
SESS0000275,CUST00015,2026-01-23,Mobile App,14,20.3,False
SESS0000276,CUST00015,2026-07-15,Mobile App,23,4.7,False
SESS0000277,CUST00016,2026-05-07,Mobile App,3,8.0,False
SESS0000278,CUST00016,2026-05-28,Mobile App,23,18.1,True
SESS0000279,CUST00016,2026-03-08,Website - Desktop,4,3.2,False
SESS0000280,CUST00016,2026-06-06,Mobile App,8,21.6,False
SESS0000281,CUST00016,2026-04-17,Mobile App,7,13.2,False
SESS0000282,CUST00016,2025-09-23,Mobile App,21,24.0,False
SESS0000283,CUST00016,2025-09-07,Mobile App,3,10.9,False
SESS0000284,CUST00016,2026-06-22,Mobile App,17,17.4,False
SESS0000285,CUST00016,2026-04-25,Mobile App,22,11.3,True
SESS0000286,CUST00016,2026-04-26,Mobile App,25,3.8,False
SESS0000287,CUST00016,2026-01-01,Website - Mobile Browser,12,10.3,False
SESS0000288,CUST00016,2026-06-15,Website - Mobile Browser,19,26.5,False
SESS0000289,CUST00016,2026-06-20,Website - Desktop,23,29.2,True
SESS0000290,CUST00016,2026-01-02,Website - Mobile Browser,4,11.8,False
SESS0000291,CUST00016,2025-10-29,Website - Mobile Browser,2,22.6,False
SESS0000292,CUST00016,2026-05-30,Mobile App,16,16.3,False
SESS0000293,CUST00016,2026-05-04,Website - Mobile Browser,7,2.5,False
SESS0000294,CUST00016,2025-08-30,Website - Mobile Browser,5,15.5,False
SESS0000295,CUST00016,2026-02-09,Mobile App,17,8.6,False
SESS0000296,CUST00016,2026-07-30,Website - Desktop,2,19.9,False
SESS0000297,CUST00016,2026-02-03,Mobile App,6,21.8,False
SESS0000298,CUST00016,2025-11-14,Mobile App,2,5.7,True
SESS0000299,CUST00016,2025-09-03,Website - Desktop,18,4.3,False
SESS0000300,CUST00016,2025-12-06,Mobile App,5,20.0,True
SESS0000301,CUST00016,2026-07-24,Website - Desktop,3,8.7,False
SESS0000302,CUST00016,2026-01-02,Website - Desktop,21,6.7,True
SESS0000303,CUST00016,2025-09-28,Website - Mobile Browser,17,22.6,True
SESS0000304,CUST00016,2026-04-04,Website - Desktop,19,18.3,True
SESS0000305,CUST00016,2025-12-14,Mobile App,22,4.2,False
SESS0000306,CUST00016,2026-05-12,Mobile App,5,1.6,True
SESS0000307,CUST00016,2025-11-19,Mobile App,9,28.1,False
SESS0000308,CUST00016,2026-02-20,Mobile App,5,4.4,False
SESS0000309,CUST00016,2026-01-04,Website - Desktop,5,21.0,True
SESS0000310,CUST00017,2025-12-06,Website - Mobile Browser,7,1.7,False
SESS0000311,CUST00017,2026-07-18,Mobile App,17,3.3,False
SESS0000312,CUST00017,2026-05-08,Mobile App,14,8.0,True
SESS0000313,CUST00017,2025-11-10,Website - Mobile Browser,2,10.7,False
SESS0000314,CUST00017,2025-11-05,Mobile App,15,14.0,False
SESS0000315,CUST00017,2026-06-18,Website - Mobile Browser,4,18.5,False
SESS0000316,CUST00017,2026-01-16,Mobile App,22,1.2,True
SESS0000317,CUST00017,2026-07-06,Website - Mobile Browser,3,12.8,False
SESS0000318,CUST00017,2026-03-19,Website - Mobile Browser,24,2.7,False
SESS0000319,CUST00017,2026-02-20,Website - Mobile Browser,2,25.9,True
SESS0000320,CUST00017,2026-03-13,Website - Mobile Browser,17,6.9,False
SESS0000321,CUST00017,2026-04-21,Mobile App,9,7.8,False
SESS0000322,CUST00017,2026-03-18,Website - Mobile Browser,9,2.5,False
SESS0000323,CUST00017,2026-04-29,Mobile App,5,17.2,False
SESS0000324,CUST00017,2026-03-18,Mobile App,4,12.9,True
SESS0000325,CUST00017,2025-09-19,Mobile App,12,12.5,False
SESS0000326,CUST00017,2025-10-12,Website - Desktop,13,14.1,False
SESS0000327,CUST00017,2025-09-19,Mobile App,13,7.4,False
SESS0000328,CUST00017,2025-11-28,Mobile App,3,17.3,False
SESS0000329,CUST00017,2026-03-20,Website - Desktop,12,2.3,False
SESS0000330,CUST00017,2025-11-17,Website - Desktop,10,19.9,False
SESS0000331,CUST00017,2026-03-03,Website - Desktop,13,29.4,False
SESS0000332,CUST00017,2026-06-04,Website - Mobile Browser,25,6.1,False
SESS0000333,CUST00018,2025-11-04,Website - Desktop,1,9.4,False
SESS0000334,CUST00018,2026-04-28,Mobile App,15,6.1,False
SESS0000335,CUST00018,2026-08-19,Website - Desktop,5,13.3,False
SESS0000336,CUST00018,2026-05-03,Mobile App,10,29.1,False
SESS0000337,CUST00018,2026-03-06,Website - Desktop,22,4.6,False
SESS0000338,CUST00018,2025-11-26,Website - Desktop,21,16.9,False
SESS0000339,CUST00018,2026-03-16,Website - Mobile Browser,5,3.5,False
SESS0000340,CUST00018,2026-02-06,Website - Mobile Browser,21,26.6,True
SESS0000341,CUST00018,2026-07-30,Website - Mobile Browser,16,28.5,False
SESS0000342,CUST00018,2026-04-14,Website - Mobile Browser,20,3.4,False
SESS0000343,CUST00018,2026-08-01,Website - Desktop,5,19.4,False
SESS0000344,CUST00018,2025-09-14,Website - Mobile Browser,3,19.9,False
SESS0000345,CUST00018,2026-07-30,Website - Desktop,9,7.0,False
SESS0000346,CUST00018,2026-01-29,Mobile App,5,21.7,False
SESS0000347,CUST00018,2026-08-20,Website - Desktop,15,29.2,True
SESS0000348,CUST00018,2025-12-03,Website - Desktop,22,2.2,False
SESS0000349,CUST00018,2026-04-28,Mobile App,8,8.2,True
SESS0000350,CUST00018,2026-02-10,Mobile App,23,7.6,True
SESS0000351,CUST00018,2026-01-04,Website - Desktop,22,16.1,False
SESS0000352,CUST00018,2026-05-27,Website - Desktop,24,8.4,False
SESS0000353,CUST00018,2026-07-11,Website - Mobile Browser,13,27.5,False
SESS0000354,CUST00018,2025-11-15,Website - Desktop,16,10.3,False
SESS0000355,CUST00018,2025-12-05,Website - Mobile Browser,23,26.9,False
SESS0000356,CUST00018,2026-01-25,Website - Desktop,24,23.3,False
SESS0000357,CUST00018,2026-02-04,Website - Mobile Browser,11,28.4,False
SESS0000358,CUST00018,2025-08-28,Mobile App,14,11.4,False
SESS0000359,CUST00019,2026-05-03,Website - Desktop,13,28.0,False
SESS0000360,CUST00019,2026-04-18,Website - Mobile Browser,13,28.9,True
SESS0000361,CUST00019,2026-06-24,Mobile App,9,4.2,True
SESS0000362,CUST00019,2026-04-10,Website - Desktop,12,1.2,False
SESS0000363,CUST00019,2026-07-17,Mobile App,19,10.3,False
SESS0000364,CUST00019,2026-08-18,Website - Mobile Browser,10,15.5,False
SESS0000365,CUST00019,2026-06-04,Mobile App,25,12.3,True
SESS0000366,CUST00019,2026-04-17,Website - Desktop,19,11.7,False
SESS0000367,CUST00019,2026-05-11,Website - Desktop,6,3.8,False
SESS0000368,CUST00019,2026-04-29,Mobile App,15,26.2,False
SESS0000369,CUST00019,2026-05-19,Mobile App,12,23.4,False
SESS0000370,CUST00019,2026-07-01,Mobile App,9,5.9,True
SESS0000371,CUST00019,2026-04-20,Website - Desktop,2,29.9,False
SESS0000372,CUST00019,2026-06-11,Website - Mobile Browser,18,17.7,False
SESS0000373,CUST00019,2026-07-26,Mobile App,14,24.6,False
SESS0000374,CUST00019,2026-06-27,Website - Desktop,10,6.8,False
SESS0000375,CUST00019,2026-07-01,Website - Desktop,19,12.7,False
SESS0000376,CUST00020,2025-12-25,Mobile App,4,28.9,False
SESS0000377,CUST00020,2025-11-25,Mobile App,1,16.3,False
SESS0000378,CUST00020,2025-10-04,Mobile App,16,28.2,False
SESS0000379,CUST00020,2025-11-20,Mobile App,5,28.0,True
SESS0000380,CUST00020,2025-12-27,Website - Mobile Browser,18,13.7,False
SESS0000381,CUST00020,2025-09-15,Website - Mobile Browser,9,9.9,True
SESS0000382,CUST00020,2025-12-25,Website - Mobile Browser,9,22.3,True
SESS0000383,CUST00020,2026-06-08,Website - Mobile Browser,15,8.2,False
SESS0000384,CUST00020,2026-08-01,Website - Mobile Browser,22,15.2,True
